A07.26.002.001	Дистанционная лучевая терапия новообразований глаза и его придаточного аппарата стереотаксическим методом пучками нейтронов, протонов и тяжелых ионов
A07.26.005	Брахитерапия при новообразованиях придаточного аппарата глаза с использованием радиоактивного офтальмоаппликатора
A07.30.002	Дистанционная лучевая терапия при новообразовании забрюшинного пространства
A07.30.022	Интраоперационная лучевая терапия при новообразованиях костей и суставных хрящей
A07.30.023	Интраоперационная лучевая терапия при новообразованиях забрюшинного пространства
A07.30.024	Интраоперационная лучевая терапия при новообразованиях брюшины
A08.01.001	Патолого-анатомическое исследование биопсийного (операционного) материала кожи
A08.01.001.001	Патолого-анатомическое исследование биопсийного (операционного) материала кожи с применением гистохимических методов
A08.01.001.002	Патолого-анатомическое исследование биопсийного (операционного) материала кожи с применением иммуногистохимических методов
A08.01.002	Цитологическое исследование микропрепарата кожи
A08.01.004	Патолого-анатомическое исследование биопсийного (операционного) материала кожи с применением иммунофлюоресцентных методов
A08.01.005	Цитологическое исследование на акантолитические клетки со дна эрозий слизистых оболочек и/или кожи
A08.20.007.001	Патолого-анатомическое исследование биопсийного (операционного) материала тканей удаленной матки с придатками и новообразований связок с применением гистохимических методов
A08.20.008	Патолого-анатомическое исследование биопсийного (операционного) материала удаленного новообразования женских половых органов 
A08.20.008.001	Патолого-анатомическое исследование биопсийного (операционного) материала удаленного новообразования женских половых органов с применением гистохимических методов
A08.21.004	Патолого-анатомическое исследование биопсийного (операционного) материала удаленного новообразования мужских половых органов
A08.21.004.001	Патолого-анатомическое исследование биопсийного (операционного) материала удаленного новообразования мужских половых органов с применением гистохимических методов
A08.22.002	Патолого-анатомическое исследование биопсийного (операционного) материала тканей удаленного новообразования желез внутренней секреции
A08.22.002.001	Патолого-анатомическое исследование биопсийного (операционного) материала тканей удаленного новообразования желез внутренней секреции с применением гистохимических методов
A08.22.002.002	Патолого-анатомическое исследование биопсийного (операционного) материала тканей удаленного новообразования желез внутренней секреции с применением иммуногистохимических методов
A09.01.007	Исследование микроэлементов в волосах
A09.01.007.001	Исследование микроэлементов в волосах методом спектрометрии
A09.01.008	Исследование металлов в волосах
A09.01.008.001	Исследование металлов в волосах методом спектрометрии
A09.01.010	Обнаружение этилглюкуронида в волосах
A09.01.011	Исследование уровня бора в волосах
A09.01.011.001	Исследование уровня бора в волосах методом атомно-абсорбционной спектроскопии
A09.01.012	Исследование уровня алюминия в волосах
A09.01.012.001	Исследование уровня алюминия в волосах методом атомно-абсорбционной спектроскопии
A09.01.013	Исследование уровня кремния в волосах
A09.01.013.001	Исследование уровня кремния в волосах методом атомно-абсорбционной спектроскопии
A09.01.014	Исследование уровня титана в волосах
A09.01.014.001	Исследование уровня титана в волосах методом атомно-абсорбционной спектроскопии
A09.01.015	Исследование уровня хрома в волосах
A09.01.015.001	Исследование уровня хрома в волосах методом атомно-абсорбционной спектроскопии
A09.01.016	Исследование уровня марганца в волосах
A09.01.016.001	Исследование уровня марганца в волосах методом атомно-абсорбционной спектроскопии
A09.01.017	Исследование уровня кобальта в волосах 
A09.01.017.001	Исследование уровня кобальта в волосах методом атомно-абсорбционной спектроскопии
A09.01.018	Исследование уровня никеля в волосах
A09.01.018.001	Исследование уровня никеля в волосах методом атомно-абсорбционной спектроскопии
A09.01.019	Исследование уровня меди в волосах
A09.01.019.001	Исследование уровня меди в волосах методом атомно-абсорбционной спектроскопии
A09.01.020	Исследование уровня цинка в волосах
A09.01.020.001	Исследование уровня цинка в волосах методом атомно-абсорбционной спектроскопии
A09.01.021	Исследование уровня мышьяка в волосах
A09.01.021.001	Исследование уровня мышьяка в волосах методом атомно-абсорбционной спектроскопии
A09.01.022	Исследование уровня селена в волосах
A09.01.022.001	Исследование уровня селена в волосах методом атомно-абсорбционной спектроскопии
A09.01.023	Исследование уровня молибдена в волосах
A09.01.023.001	Исследование уровня молибдена в волосах методом атомно-абсорбционной спектроскопии
A09.01.024	Исследование уровня кадмия в волосах
A09.01.024.001	Исследование уровня кадмия в волосах методом атомно-абсорбционной спектроскопии
A09.01.025	Исследование уровня сурьмы в волосах
A09.01.025.001	Исследование уровня сурьмы в волосах методом атомно-абсорбционной спектроскопии
A09.01.026	Исследование уровня ртути в волосах
A09.01.026.001	Исследование уровня ртути в волосах методом атомно-абсорбционной спектроскопии
A09.01.027	Исследование уровня свинца в волосах 
A09.01.027.001	Исследование уровня свинца в волосах методом атомно-абсорбционной спектроскопии
A10.13.002	Интраоперационная лазерная допплеровская флоуметрия миокарда
A11.01.001	Биопсия кожи
A11.01.009	Соскоб кожи
A11.01.010	Инъекционное введение лекарственных препаратов в очаг поражения кожи
A11.01.016	Получение мазка-отпечатка с поверхности кожи
A11.01.019	Получение соскоба с эрозивно-язвенных элементов кожи и слизистых оболочек
A11.20.010.001	Биопсия новообразования молочной железы прицельная пункционная под контролем рентгенографического исследования
A11.20.010.002	Биопсия новообразования молочной железы аспирационная вакуумная под контролем рентгенографического исследования
A11.20.010.003	Пункция новообразования молочной железы прицельная пункционная под контролем ультразвукового исследования
A11.20.010.004	Биопсия непальпируемых новообразований молочной железы аспирационная вакуумная под контролем ультразвукового исследования
A11.23.005	Биопсия новообразования основания черепа
A11.23.005.001	Биопсия новообразования основания черепа эндоназальная с помощью видеоэндоскопических технологий
A11.25.006	Биопсия новообразования наружного уха
A11.26.001	Биопсия новообразования век, конъюнктивы или роговицы
A11.26.003	Биопсия новообразования радужки или цилиарного тела
A12.01.001	Определение сенсибилизации кожи к определенным косметическим веществам
A12.01.003	Исследование потоотделения кожи
A12.01.005	Определение фоточувствительности кожи
A12.01.006	Влагометрия кожи
A12.01.007	Эластометрия кожи
A12.23.002	Молекулярно-биологическое исследование генов в тканях новообразований центральной нервной системы и головного мозга
A12.30.006	Лазерная спектрофотометрия
A14.01.002	Уход за волосами, ногтями, бритье тяжелобольного пациента
A14.01.005	Очищение кожи лица и шеи
A14.01.006	Вапоризация кожи лица
A14.01.008	Очищение кожи лица с помощью ложки Уны
A14.01.009	Удаление камедонов кожи
A14.01.010	Удаление милиумов кожи
A14.01.013	Проведение эпиляции
A14.01.014	Втирание растворов в волосистую часть головы
A14.01.015	Бритье кожи предоперационное или поврежденного участка 
A15.01.002	Наложение повязки при гнойных заболеваниях кожи и подкожной клетчатки
A16.01.005	Иссечение поражения кожи
A16.01.005.001	Широкое иссечение меланомы кожи
A16.01.005.002	Широкое иссечение меланомы кожи с реконструктивно-пластическим компонентом
A16.01.005.003	Широкое иссечение меланомы кожи комбинированное 
A16.01.005.004	Широкое иссечение меланомы кожи расширенное
A16.01.005.005	Широкое иссечение новообразования кожи с реконструктивно-пластическим компонентом
A16.01.008	Сшивание кожи и подкожной клетчатки
A16.01.017	Удаление доброкачественных новообразований кожи
A16.01.017.001	Удаление доброкачественных новообразований кожи методом электрокоагуляции
A16.01.018	Удаление доброкачественных новообразований подкожно-жировой клетчатки
A16.01.019	Вскрытие инфильтрата (угревого элемента) кожи и подкожно-жировой клетчатки
A16.01.022	Дермабразия
A16.01.022.001	Дермабразия рубцов
A16.01.023	Иссечение рубцов кожи
A16.01.023.001	Иссечение рубцов передней брюшной стенки
A16.01.023.002	Иссечение келлоидных рубцов кисти
A16.01.024	Дерматологический пилинг
A16.01.025	Трансплантация волос головы
A16.01.027	Удаление ногтевых пластинок
A16.01.027.001	Удаление ногтевой пластинки с клиновидной резекцией матрикса
A16.01.027.002	Удаление ногтевой пластинки при помощи лазера
A16.01.031	Устранение рубцовой деформации
A16.01.031.001	Устранение рубцовой деформации с замещением дефекта местными тканями
A16.01.031.002	Устранение рубцовой деформации челюстно-лицевой области и шеи ротационным лоскутом на сосудистой ножке
